NAME:,walking_dor2,,
1.524,-0.51,1.77,2.98
1.525,-0.24,2,2.24
1.526,-0.39,2.12,2
1.527,-0.51,2.04,3.77
1.528,-1.02,2.43,6.28
1.529,0.82,5.1,6.55
1.53,-0.24,5.02,11.89
1.531,-2.59,3.06,16.36
1.532,-1.57,5.1,7.88
1.533,-2.47,4.75,12.2
1.534,-2.35,4.51,12.55
1.535,-1.77,5.02,6.67
